county,boys_3yrs,girls_3yrs,boys_4yrs,girls_4yrs,boys_5yrs,girls_5yrs,avg_all
Baringo,0.67,0.57,0.65,0.72,0.69,0.59,0.65
Bomet,0.5,0.45,0.81,0.87,0.75,0.7,0.68
Bungoma,0.42,0.42,0.64,0.61,0.67,0.68,0.57
Busia,0.39,0.46,0.63,0.71,0.74,0.75,0.61
Elgeyo Marakwet,0.43,0.35,0.74,0.71,0.79,0.79,0.64
Embu,0.42,0.26,0.65,0.5,0.53,0.46,0.47
Garissa,0.31,0.24,0.43,0.49,0.5,0.51,0.41
Homa Bay,0.6,0.61,0.76,0.78,0.74,0.81,0.72
Isiolo,0.34,0.48,0.69,0.62,0.7,0.6,0.57
Kajiado,0.35,0.36,0.58,0.62,0.59,0.65,0.53
Kakamega,0.32,0.36,0.69,0.69,0.68,0.73,0.58
Kericho,0.57,0.49,0.76,0.75,0.65,0.65,0.65
Kiambu,0.54,0.55,0.89,0.83,0.82,0.75,0.73
Kilifi,0.43,0.49,0.56,0.61,0.77,0.72,0.60
Kirinyaga,0,,0,0,0,0,0.00
Kisii,0.73,0.69,0.94,0.9,0.84,0.86,0.83
Kisumu,0.59,0.53,0.8,0.84,0.85,0.84,0.74
Kitui,0.32,0.39,0.56,0.59,0.67,0.7,0.54
Kwale,0.33,0.46,0.61,0.49,0.76,0.67,0.55
Laikipia,0.53,0.5,0.63,0.6,0.71,0.71,0.61
Lamu,0.32,0.33,0.64,0.75,0.62,0.8,0.58
Machakos,0.43,0.49,0.64,0.78,0.73,0.74,0.64
Makueni,0.38,0.32,0.66,0.76,0.66,0.63,0.57
Mandera,0.13,0.13,0.28,0.15,0.29,0.3,0.21
Marsabit,0.25,0.26,0.39,0.41,0.47,0.48,0.38
Meru,0.54,0.45,0.75,0.78,0.84,0.82,0.70
Migori,0.62,0.59,0.84,0.73,0.82,0.82,0.74
Mombasa,0.52,0.6,0.9,0.78,0.74,0.81,0.73
Muranga,0.38,0.38,0.75,0.76,0.64,0.7,0.60
Nairobi,0.52,0.35,0.8,0.8,0.8,0.78,0.68
Nakuru,0.49,0.5,0.83,0.8,0.84,0.84,0.72
Nandi,0.54,0.52,0.76,0.86,0.85,0.81,0.72
Narok,0.31,0.28,0.61,0.59,0.69,0.69,0.53
Nyamira,0.59,0.51,0.86,0.82,0.88,0.89,0.76
Nyandarua,0.34,0.22,0.74,0.75,0.75,0.67,0.58
Nyeri,0.42,0.75,0.95,0.94,0.71,0.75,0.75
Samburu,0.42,0.42,0.56,0.53,0.51,0.52,0.49
Siaya,0.53,0.58,0.76,0.8,0.8,0.81,0.71
Taita Taveta,0.48,0.44,0.71,0.74,0.87,0.83,0.68
Tana River,0.38,0.18,0.51,0.39,0.62,0.49,0.43
Tharaka Nithi,0.42,0.36,0.75,0.86,0.78,0.67,0.64
Trans Nzoia,0.41,0.43,0.72,0.7,0.64,0.68,0.60
Turkana,0.6,0.52,0.59,0.56,0.66,0.58,0.59
Uasin Gishu,0.66,0.61,0.85,0.88,0.82,0.78,0.77
Vihiga,0.42,0.46,0.63,0.7,0.67,0.68,0.59
Wajir,0.14,0.18,0.3,0.21,0.38,0.37,0.26
West Pokot,0.38,0.38,0.58,0.56,0.55,0.5,0.49
